time,value
1545162492,3199704.520
1545162539,3329456.965
1545162585,3097130.921
1545162631,3432631.410
1545162678,3447518.460
1545162720,3456337.038
1545162761,3447643.902
1545162807,3448818.176
1545162851,3430905.024
1545162896,3445727.280
1545162941,3471261.300
1545162985,3463478.442
1545163030,3474998.178
1545163072,3447076.581
1545163118,3488801.308
1545163163,3475163.891
1545163205,3456145.007
1545163249,3426558.623
1545163295,3471705.471
1545163338,3376636.345
1545163382,3459010.426
1545163424,3401487.501
1545163467,3459228.980
1545163512,3425687.056
1545163555,3420765.167
1545163597,3471311.271
1545163641,3481946.367
1545163683,3439376.594
1545163726,3411843.518
1545163772,3470385.084
1545163818,3489114.401
1545163866,3442535.893
1545163911,3460610.083
1545163958,3417871.288
1545164002,3450347.121
1545164047,3462944.174
1545164095,3456305.309
1545164140,3291295.499
1545164185,3430714.163
1545164229,3471426.938
1545164276,3475578.104
1545164318,3453346.567
1545164364,3491609.811
1545164406,3489947.321
1545164452,3472734.632
1545164496,3436492.148
1545164540,3488046.031
1545164582,3491055.472
