time,value
1545162522,349
1545162568,348
1545162615,366
1545162660,316
1545162707,478
1545162749,496
1545162790,327
1545162836,432
1545162880,362
1545162925,365
1545162969,364
1545163014,342
1545163059,469
1545163101,352
1545163147,358
1545163191,443
1545163233,349
1545163278,355
1545163323,435
1545163367,357
1545163411,446
1545163453,460
1545163495,361
1545163541,474
1545163584,474
1545163625,370
1545163669,464
1545163712,469
1545163755,361
1545163800,302
1545163847,298
1545163894,351
1545163939,297
1545163987,363
1545164031,353
1545164076,293
1545164123,365
1545164169,359
1545164214,355
1545164258,305
1545164304,464
1545164347,312
1545164393,462
1545164435,355
1545164480,357
1545164524,351
1545164568,463
1545164610,349
