time,value
1545162536,0.960
1545162583,1.203
1545162629,0.970
1545162676,0.992
1545162718,1.004
1545162759,1.063
1545162805,0.982
1545162849,0.986
1545162894,1.001
1545162939,0.981
1545162982,1.024
1545163028,0.990
1545163070,0.995
1545163116,0.981
1545163160,1.010
1545163202,0.979
1545163247,1.011
1545163292,1.038
1545163335,0.978
1545163380,1.043
1545163422,1.020
1545163464,0.985
1545163509,1.015
1545163553,1.023
1545163594,1.035
1545163638,1.011
1545163681,1.018
1545163723,1.147
1545163770,1.042
1545163816,1.003
1545163863,1.068
1545163908,1.034
1545163956,1.020
1545164000,1.018
1545164045,1.045
1545164092,1.054
1545164137,1.401
1545164183,1.046
1545164227,0.983
1545164273,1.035
1545164316,1.003
1545164362,0.989
1545164404,1.033
1545164449,1.099
1545164493,1.046
1545164538,1.028
1545164579,1.024
1545164624,1.104
