time,value
1545162521,0.337
1545162567,0.356
1545162613,0.336
1545162658,0.338
1545162705,0.336
1545162747,0.336
1545162789,0.336
1545162834,0.336
1545162878,0.336
1545162923,0.336
1545162968,0.336
1545163012,0.336
1545163057,0.340
1545163100,0.355
1545163146,0.337
1545163190,0.336
1545163232,0.337
1545163277,0.336
1545163322,0.337
1545163365,0.336
1545163409,0.336
1545163452,0.336
1545163494,0.336
1545163539,0.336
1545163582,0.336
1545163623,0.336
1545163668,0.336
1545163710,0.336
1545163754,0.338
1545163799,0.337
1545163846,0.336
1545163893,0.336
1545163938,0.336
1545163985,0.336
1545164030,0.336
1545164074,0.336
1545164122,0.336
1545164168,0.336
1545164213,0.335
1545164257,0.336
1545164303,0.336
1545164345,0.336
1545164391,0.336
1545164433,0.336
1545164479,0.336
1545164523,0.336
1545164567,0.336
1545164608,0.336
