time,value
1545220860,0.154799
1545220885,0.162338
1545220910,0.165563
1545220935,0.163934
1545220960,0.163934
1545220985,0.163934
1545221010,0.164474
1545221036,0.164474
1545221061,0.165017
1545221086,0.165017
1545221111,0.163934
1545221136,0.163399
1545221161,0.17301
1545221186,0.163399
1545221211,0.163399
1545221236,0.162866
1545221261,0.162338
1545221286,0.162866
1545221311,0.161812
1545221336,0.162338
1545221361,0.163399
1545221387,0.163934
1545221412,0.162866
1545221437,0.162338
1545221462,0.162338
1545221487,0.162338
1545221512,0.163399
1545221537,0.163934
1545221562,0.163399
1545221587,0.162866
1545221612,0.162866
1545221637,0.163934
1545221662,0.162866
1545221687,0.163934
1545221712,0.162866
1545221737,0.164474
1545221763,0.163399
1545221788,0.163399
1545221813,0.163934
1545221838,0.162866
1545221863,0.163399
1545221888,0.162866
1545221913,0.162866
1545221938,0.170648
1545221963,0.170068
1545221988,0.211864
1545222013,0.172414
1545222038,0.2
