time,value
1545086787,3385068.349
1545086825,3363845.350
1545086857,3342886.812
1545086890,3374423.480
1545086922,3374423.480
1545086954,3366483.660
1545086986,3353333.333
1545087018,3398469.253
1545087051,3395780.591
1545087088,3385068.349
1545087120,3406560.847
1545087153,3395780.591
1545087185,3385068.349
1545087221,3363845.350
1545087254,3390416.008
1545087286,3385068.349
1545087319,3395780.591
1545087351,3395780.591
1545087383,3353333.333
1545087415,3395780.591
1545087446,3439316.239
1545087477,3428328.009
1545087509,3395780.591
1545087540,3395780.591
1545087571,3374423.480
1545087602,3385068.349
1545087633,3374423.480
1545087665,3393096.179
1545087697,3374423.480
1545087736,3335094.535
1545087767,3337687.921
1545087799,3374423.480
1545087831,3385068.349
1545087862,3311934.156
1545087894,3374423.480
1545087925,3387740.068
1545087965,3395780.591
1545087996,3417409.766
1545088027,3428328.009
1545088058,3385068.349
1545088089,3353333.333
1545088121,3374423.480
1545088153,3379737.533
1545088184,3450375.134
1545088215,3395780.591
1545088247,3395780.591
1545088278,3393096.179
1545088311,3358581.116
