time,value
1545086814,402
1545086852,991
1545086884,955
1545086916,927
1545086948,938
1545086981,921
1545087013,932
1545087045,917
1545087077,428
1545087115,954
1545087147,930
1545087179,917
1545087212,453
1545087248,940
1545087280,908
1545087313,895
1545087345,962
1545087377,969
1545087411,1306
1545087442,1282
1545087473,1170
1545087504,1155
1545087535,1074
1545087567,1322
1545087598,1311
1545087629,1243
1545087660,1100
1545087691,954
1545087725,408
1545087763,1315
1545087795,1156
1545087826,1115
1545087858,1319
1545087889,1322
1545087920,1059
1545087952,342
1545087992,1335
1545088022,1255
1545088053,1135
1545088085,1364
1545088117,1355
1545088148,1211
1545088179,1075
1545088211,1354
1545088242,1231
1545088274,1122
1545088305,972
1545088338,1146
