time,value
1545086824,1.235
1545086856,0.954
1545086889,0.969
1545086921,0.956
1545086953,0.933
1545086985,0.936
1545087017,0.955
1545087050,0.940
1545087087,1.035
1545087119,0.961
1545087152,0.948
1545087184,0.951
1545087221,0.957
1545087253,0.972
1545087285,1.002
1545087317,1.039
1545087350,1.007
1545087382,1.000
1545087414,1.006
1545087445,1.009
1545087476,1.001
1545087508,1.003
1545087539,1.059
1545087570,1.031
1545087601,1.022
1545087632,0.999
1545087664,1.002
1545087696,1.035
1545087735,1.010
1545087766,1.063
1545087798,1.046
1545087830,1.029
1545087861,1.020
1545087892,1.049
1545087924,1.054
1545087964,1.067
1545087995,1.041
1545088026,1.052
1545088057,1.022
1545088088,0.997
1545088120,1.024
1545088152,1.016
1545088183,1.043
1545088214,1.035
1545088246,1.041
1545088277,1.030
1545088309,1.144
1545088342,1.043
