time,value
1545086813,0.500
1545086852,0.500
1545086884,0.500
1545086916,0.500
1545086948,0.500
1545086980,0.500
1545087012,0.500
1545087045,0.500
1545087077,0.500
1545087115,0.500
1545087147,0.500
1545087179,0.510
1545087211,0.510
1545087248,0.520
1545087280,0.520
1545087312,0.520
1545087345,0.520
1545087377,0.510
1545087410,0.520
1545087441,0.520
1545087472,0.520
1545087503,0.520
1545087535,0.520
1545087566,0.520
1545087597,0.520
1545087628,0.520
1545087660,0.530
1545087691,0.520
1545087724,0.520
1545087763,0.520
1545087794,0.530
1545087826,0.530
1545087857,0.520
1545087889,0.520
1545087920,0.530
1545087951,0.520
1545087991,0.530
1545088022,0.520
1545088053,0.520
1545088084,0.520
1545088117,0.530
1545088148,0.520
1545088179,0.520
1545088210,0.520
1545088242,0.530
1545088273,0.520
1545088305,0.530
1545088337,0.520
