time,value
1545175157,6.77428
1545175177,6.68844
1545175197,9.43431
1545175217,11.0084
1545175237,12.8
1545175257,12.8805
1545175277,12.7427
1545175297,12.6639
1545175317,14.7338
1545175337,15.5576
1545175357,16.6558
1545175377,16.6126
1545175397,16.5964
1545175417,19.1473
1545175437,20.047
1545175457,23.7257
1545175478,23.6053
1545175498,26.1893
1545175518,27.0042
1545175538,29.341
1545175558,31.8012
1545175578,34.5013
1545175598,35.6298
1545175618,38.0104
1545175638,40.7319
1545175658,44.062
1545175678,46.9294
1545175698,49.0421
1545175718,50.0978
1545175738,52.2983
1545175758,53.4447
1545175779,55.8342
1545175799,59.1908
1545175819,59.8131
1545175839,62.2114
1545175859,64.2409
1545175879,65.2229
1545175899,67.0157
1545175919,68.9098
1545175939,70.041
1545175959,72.3164
1545175979,73.7752
1545175999,71.9101
1545176019,67.0157
1545176040,63.2099
1545176060,64.3216
1545176080,65.9794
1545176100,67.4572
