time,value
1545089257,3292017.451
1545089295,3391306.963
1545089330,3200952.490
1545089367,3406134.809
1545089402,3403945.752
1545089437,3333395.202
1545089472,3385544.675
1545089506,3378158.576
1545089541,3414152.187
1545089577,3393840.678
1545089609,3402786.454
1545089641,3390180.356
1545089674,3415497.523
1545089706,3403326.606
1545089739,3408129.668
1545089771,3402622.176
1545089803,3392156.565
1545089837,3400918.561
1545089869,3398647.931
1545089901,3408887.548
1545089933,3407768.170
1545089966,3393571.547
1545089999,3389885.837
1545090031,3406479.740
1545090065,3408153.482
1545090098,3407322.356
1545090132,3379180.899
1545090165,3406902.618
1545090198,3395204.695
1545090230,3392450.943
1545090262,3409241.701
1545090294,3389300.163
1545090326,3375935.220
1545090360,3397337.345
1545090392,3351285.122
1545090425,3213798.507
1545090458,3405069.372
1545090492,3400985.390
1545090524,3421181.783
1545090558,3388150.283
1545090591,3388748.937
1545090623,3395482.949
1545090656,3387725.095
1545090688,3414215.463
1545090722,3413583.075
1545090755,3400485.043
1545090787,3420938.563
1545090820,3393058.628
