time,value
1545089284,432
1545089322,601
1545089357,451
1545089394,603
1545089429,613
1545089464,579
1545089499,629
1545089533,640
1545089567,484
1545089603,953
1545089635,900
1545089668,779
1545089700,882
1545089733,807
1545089765,898
1545089798,892
1545089831,835
1545089863,952
1545089895,982
1545089927,860
1545089960,760
1545089993,919
1545090025,891
1545090057,592
1545090092,800
1545090125,802
1545090158,734
1545090191,762
1545090224,904
1545090257,906
1545090289,999
1545090321,897
1545090353,775
1545090386,901
1545090419,782
1545090452,818
1545090485,724
1545090518,880
1545090550,593
1545090585,904
1545090617,876
1545090650,858
1545090682,823
1545090715,725
1545090749,761
1545090782,967
1545090813,785
1545090846,901
