time,value
1545089294,0.809
1545089329,0.847
1545089367,0.810
1545089402,0.810
1545089436,0.796
1545089471,0.801
1545089506,0.825
1545089540,0.816
1545089576,0.787
1545089608,0.798
1545089640,0.810
1545089673,0.828
1545089705,0.800
1545089738,0.815
1545089770,0.819
1545089803,0.813
1545089836,0.832
1545089868,0.792
1545089900,0.833
1545089932,0.811
1545089965,0.858
1545089998,0.805
1545090030,0.823
1545090065,0.813
1545090097,0.801
1545090131,0.805
1545090164,0.803
1545090197,0.786
1545090229,0.817
1545090262,0.792
1545090293,0.804
1545090326,0.801
1545090359,0.812
1545090391,0.820
1545090424,0.842
1545090458,0.813
1545090491,0.816
1545090523,0.822
1545090558,0.795
1545090590,0.827
1545090622,0.796
1545090655,0.811
1545090688,0.822
1545090721,0.809
1545090754,0.786
1545090786,0.810
1545090819,0.799
1545090851,0.815
