time,value
1545089284,0.338
1545089321,0.336
1545089357,0.336
1545089394,0.336
1545089429,0.336
1545089463,0.336
1545089498,0.336
1545089533,0.336
1545089567,0.336
1545089603,0.336
1545089635,0.337
1545089667,0.336
1545089700,0.339
1545089732,0.336
1545089765,0.336
1545089797,0.336
1545089831,0.337
1545089863,0.336
1545089895,0.337
1545089927,0.336
1545089959,0.336
1545089992,0.337
1545090025,0.336
1545090057,0.336
1545090091,0.336
1545090125,0.339
1545090158,0.336
1545090191,0.336
1545090224,0.336
1545090256,0.337
1545090288,0.336
1545090320,0.336
1545090353,0.338
1545090386,0.336
1545090418,0.336
1545090452,0.336
1545090484,0.337
1545090518,0.335
1545090550,0.336
1545090585,0.336
1545090617,0.337
1545090649,0.336
1545090682,0.336
1545090714,0.336
1545090748,0.337
1545090781,0.336
1545090813,0.336
1545090846,0.336
