time,value
1545178087,0.13587
1545178112,0.13587
1545178137,0.134771
1545178162,0.135501
1545178187,0.135501
1545178212,0.135135
1545178237,0.135501
1545178262,0.13624
1545178288,0.13624
1545178313,0.135135
1545178338,0.135135
1545178363,0.135501
1545178388,0.136986
1545178413,0.13624
1545178438,0.135135
1545178463,0.13587
1545178488,0.13624
1545178513,0.134771
1545178538,0.134771
1545178564,0.135501
1545178589,0.135501
1545178614,0.13624
1545178639,0.138504
1545178664,0.134771
1545178689,0.135501
1545178714,0.13624
1545178739,0.134771
1545178764,0.135135
1545178790,0.135135
1545178815,0.135135
1545178840,0.135501
1545178865,0.135135
1545178890,0.135501
1545178915,0.135135
1545178940,0.138889
1545178965,0.13624
1545178990,0.135135
1545179015,0.135135
1545179041,0.135501
1545179066,0.135501
1545179091,0.135501
1545179116,0.135501
1545179141,0.135501
1545179166,0.135501
1545179192,0.135135
1545179217,0.13587
1545179242,0.135501
1545179267,0.137741
