time,value
1545082639,215
1545082722,508
1545082794,502
1545082866,373
1545082940,431
1545083015,658
1545083084,550
1545083155,586
1545083226,552
1545083297,597
1545083367,642
1545083437,548
1545083508,553
1545083579,581
1545083649,537
1545083720,589
1545083790,532
1545083861,610
1545083932,589
1545084002,590
1545084072,598
1545084142,572
1545084213,556
1545084285,523
1545084356,549
1545084427,559
1545084498,553
1545084569,630
1545084639,556
1545084710,532
1545084781,599
1545084852,602
1545084922,588
1545084992,553
1545085063,600
1545085133,642
1545085203,639
1545085273,586
1545085343,530
1545085413,492
1545085484,550
1545085554,587
1545085624,596
1545085694,560
1545085764,561
1545085834,603
1545085905,605
1545085974,645
