time,value
1545082619,20.520
1545082701,20.460
1545082773,20.540
1545082845,20.420
1545082919,20.400
1545082992,22.690
1545083064,20.430
1545083135,20.430
1545083206,20.410
1545083277,20.310
1545083347,20.400
1545083416,20.370
1545083488,20.300
1545083559,20.420
1545083629,20.430
1545083699,20.370
1545083770,20.470
1545083841,20.350
1545083911,20.450
1545083981,20.270
1545084051,20.590
1545084122,20.370
1545084193,20.330
1545084264,20.480
1545084335,20.420
1545084406,20.380
1545084477,20.590
1545084548,20.490
1545084618,20.440
1545084689,20.360
1545084760,20.480
1545084831,20.780
1545084901,20.420
1545084971,20.450
1545085042,20.330
1545085112,20.440
1545085183,20.360
1545085252,20.400
1545085322,20.360
1545085392,20.390
1545085463,20.470
1545085533,20.380
1545085604,20.320
1545085673,20.350
1545085743,20.460
1545085814,20.420
1545085884,20.390
1545085954,20.430
