time,value
1545082595,49459.194
1545082677,49422.746
1545082749,49313.725
1545082821,49313.725
1545082895,49605.523
1545082968,49679.012
1545083040,49459.194
1545083110,49752.720
1545083182,49532.250
1545083253,49459.194
1545083323,49752.720
1545083392,49605.523
1545083463,49459.194
1545083534,49386.352
1545083605,49642.240
1545083675,49568.859
1545083746,49642.240
1545083817,49715.839
1545083887,49313.725
1545083957,49386.352
1545084027,49532.250
1545084098,49495.695
1545084168,49459.194
1545084239,49386.352
1545084311,49459.194
1545084382,49459.194
1545084453,49532.250
1545084524,49241.312
1545084594,49459.194
1545084665,49459.194
1545084736,49568.859
1545084806,49605.523
1545084877,49532.250
1545084947,49459.194
1545085018,49313.725
1545085088,49459.194
1545085158,49459.194
1545085228,49386.352
1545085298,49459.194
1545085368,49605.523
1545085439,49459.194
1545085509,49532.250
1545085579,49459.194
1545085649,49459.194
1545085719,49313.725
1545085790,49422.746
1545085860,49459.194
1545085930,49386.352
