time,value
1545082659,18.379
1545082731,18.305
1545082803,18.037
1545082877,17.956
1545082950,17.668
1545083021,18.020
1545083092,18.098
1545083163,18.726
1545083234,18.172
1545083305,17.946
1545083374,17.992
1545083445,18.067
1545083516,18.147
1545083587,17.664
1545083657,17.827
1545083727,17.989
1545083798,18.002
1545083868,18.035
1545083939,17.859
1545084009,17.694
1545084079,18.070
1545084150,18.225
1545084221,18.265
1545084293,18.108
1545084364,17.953
1545084435,18.051
1545084506,17.897
1545084576,18.357
1545084647,18.025
1545084718,18.081
1545084788,18.163
1545084859,17.866
1545084929,17.619
1545084999,17.966
1545085070,18.176
1545085140,18.441
1545085210,17.744
1545085280,17.885
1545085351,16.924
1545085422,17.210
1545085492,17.323
1545085562,17.668
1545085631,17.260
1545085702,17.294
1545085772,17.620
1545085842,18.024
1545085912,17.721
1545085981,17.925
