time,value
1545171696,45.1499
1545171716,45.5111
1545171736,45.8371
1545171756,49.0892
1545171776,48.439
1545171796,51.0978
1545171817,52.5128
1545171837,53.7815
1545171857,56.2637
1545171877,56.5746
1545171897,58.9862
1545171917,58.3808
1545171937,58.9862
1545171957,59.1224
1545171977,59.1908
1545171997,64.3216
1545172017,61.9855
1545172037,61.8357
1545172057,60.5917
1545172077,61.6125
1545172097,61.8357
1545172117,62.8221
1545172137,62.7451
1545172157,63.288
1545172177,64.2409
1545172198,64.9746
1545172218,66.3212
1545172238,66.4935
1545172258,67.6354
1545172278,67.7249
1545172298,68.2667
1545172318,68.9098
1545172338,66.4935
1545172358,72.6241
1545172378,67.6354
1545172398,69.4708
1545172418,73.5632
1545172438,74.9634
1545172458,70.6207
1545172478,73.5632
1545172498,73.1429
1545172518,73.3524
1545172538,74.3106
1545172559,74.9634
1545172579,77.5758
1545172599,77.4584
1545172619,80.3768
1545172639,80.2508
